Provider Id,Provider Name,Total_Discharges
360098,LAKE HEALTH,10616.0
170122,"VIA CHRISTI HOSPITALS WICHITA, INC",10610.0
180013,THE MEDICAL CENTER AT BOWLING GREEN,10604.0
360068,TOLEDO HOSPITAL THE,10581.0
100105,INDIAN RIVER MEDICAL CENTER,10561.0
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,10556.0
230024,SINAI-GRACE HOSPITAL,10543.0
100179,MEMORIAL HOSPITAL JACKSONVILLE,10537.0
420018,PALMETTO HEALTH RICHLAND,10529.0
210040,NORTHWEST HOSPITAL CENTER,10498.0
360066,ST RITA'S MEDICAL CENTER,10466.0
330119,LENOX HILL HOSPITAL,10460.0
230019,PROVIDENCE - PROVIDENCE PARK HOSPITAL,10423.0
450042,PROVIDENCE HEALTH CENTER,10411.0
330169,BETH ISRAEL MEDICAL CENTER,10395.0
100075,ST JOSEPHS HOSPITAL,10375.0
100025,SACRED HEART HOSPITAL,10351.0
340131,CAROLINA EAST MEDICAL CENTER,10345.0
100244,CAPE CORAL HOSPITAL,10345.0
240115,MERCY HOSPITAL,10338.0
140202,ADVOCATE CONDELL MEDICAL CENTER,10304.0
30061,BANNER BOSWELL MEDICAL CENTER,10303.0
100022,JACKSON MEMORIAL HOSPITAL,10259.0
490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,10232.0
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,10204.0
30006,TUCSON MEDICAL CENTER,10198.0
360163,CHRIST HOSPITAL,10194.0
110036,"MEMORIAL HEALTH UNIV MED CEN, INC",10188.0
140242,CENTRAL DUPAGE HOSPITAL,10171.0
10056,ST VINCENT'S BIRMINGHAM,10166.0
250040,SINGING RIVER HOSPITAL,10156.0
360077,FAIRVIEW HOSPITAL,10140.0
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,10130.0
260138,ST LUKES HOSPITAL OF KANSAS CITY,10127.0
150002,METHODIST HOSPITALS INC,10124.0
340040,PITT COUNTY MEMORIAL HOSPITAL,10123.0
30103,MAYO CLINIC HOSPITAL,10119.0
390006,GEISINGER MEDICAL CENTER,10117.0
50454,UCSF MEDICAL CENTER,10099.0
140276,LOYOLA UNIVERSITY MEDICAL CENTER,10094.0
260179,ST LUKES HOSPITAL,10086.0
100009,UNIVERSITY OF MIAMI HOSPITAL,10085.0
100248,LARGO MEDICAL CENTER,10085.0
440059,COOKEVILLE REGIONAL MEDICAL CENTER,10076.0
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,10043.0
290003,SUNRISE HOSPITAL AND MEDICAL CENTER,10024.0
100113,UF HEALTH SHANDS HOSPITAL,9987.0
340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,9987.0
210022,SUBURBAN HOSPITAL,9979.0
40055,SPARKS REGIONAL MEDICAL CENTER,9970.0
310008,HOLY NAME MEDICAL CENTER,9966.0
80004,BAYHEALTH - KENT GENERAL HOSPITAL,9959.0
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",9951.0
100264,OAK HILL HOSPITAL,9944.0
210044,GREATER BALTIMORE MEDICAL CENTER,9943.0
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,9936.0
450010,UNITED REGIONAL HEALTH CARE SYSTEM,9906.0
240001,NORTH MEMORIAL MEDICAL CENTER,9903.0
240002,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,9892.0
230017,BRONSON METHODIST HOSPITAL,9880.0
420087,ROPER HOSPITAL,9864.0
100231,WEST FLORIDA HOSPITAL,9829.0
330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,9817.0
260137,FREEMAN HEALTH SYSTEM - FREEMAN WEST,9804.0
430016,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,9780.0
330285,STRONG MEMORIAL HOSPITAL,9776.0
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",9722.0
210048,HOWARD COUNTY GENERAL HOSPITAL,9698.0
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,9698.0
50077,SCRIPPS MERCY HOSPITAL,9675.0
100090,FLAGLER HOSPITAL,9673.0
140185,MEMORIAL HOSPITAL,9660.0
140053,ST JOHNS HOSPITAL,9615.0
100029,NORTH SHORE MEDICAL CENTER,9587.0
490052,RIVERSIDE REGIONAL MEDICAL CENTER,9565.0
310045,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,9556.0
140200,ELMHURST MEMORIAL HOSPITAL,9546.0
450011,ST JOSEPH REGIONAL HEALTH CENTER,9541.0
100044,MARTIN MEDICAL CENTER,9522.0
500024,PROVIDENCE ST PETER HOSPITAL,9515.0
450107,LAS PALMAS MEDICAL CENTER,9499.0
330125,ROCHESTER GENERAL HOSPITAL,9480.0
30013,YUMA REGIONAL MEDICAL CENTER,9478.0
50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,9455.0
500014,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,9453.0
450037,GOOD SHEPHERD MEDICAL CENTER,9453.0
100236,FAWCETT MEMORIAL HOSPITAL,9439.0
250019,MEMORIAL HOSPITAL AT GULFPORT,9422.0
100226,ORANGE PARK MEDICAL CENTER,9409.0
360079,KETTERING MEDICAL CENTER,9382.0
180130,BAPTIST HOSPITAL EAST,9381.0
230019,PROVIDENCE HOSPITAL AND MEDICAL CENTERS,9351.0
50239,GLENDALE ADVENTIST MEDICAL CENTER,9308.0
230146,HENRY FORD WYANDOTTE HOSPITAL,9304.0
180130,BAPTIST HEALTH LOUISVILLE,9294.0
450713,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,9282.0
100040,ST VINCENT'S MEDICAL CENTER,9273.0
310014,COOPER UNIVERSITY HOSPITAL,9256.0
210033,CARROLL HOSPITAL CENTER,9255.0
100265,MEASE COUNTRYSIDE HOSPITAL,9240.0
370008,NORMAN REGIONAL HEALTH SYSTEM,9234.0
300001,CONCORD HOSPITAL,9222.0
230104,HARPER UNIVERSITY HOSPITAL,9207.0
50739,CENTINELA HOSPITAL MEDICAL CENTER,9203.0
450229,HENDRICK MEDICAL CENTER,9193.0
490057,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,9188.0
500050,PEACEHEALTH SOUTHWEST MEDICAL CENTER,9183.0
490046,SENTARA LEIGH HOSPITAL,9182.0
150017,LUTHERAN HOSPITAL OF INDIANA,9138.0
450056,SETON MEDICAL CENTER AUSTIN,9100.0
330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,9062.0
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,9055.0
100052,WINTER HAVEN HOSPITAL,9055.0
240078,FAIRVIEW SOUTHDALE HOSPITAL,9052.0
50309,SUTTER ROSEVILLE MEDICAL CENTER,9023.0
160064,MERCY MEDICAL CENTER-NORTH IOWA,9020.0
230269,WILLIAM BEAUMONT HOSPITAL-TROY,9016.0
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,8976.0
180044,PIKEVILLE MEDICAL CENTER,8970.0
230020,OAKWOOD HOSPITAL AND MEDICAL CENTER,8962.0
390063,UPMC HAMOT,8960.0
140015,BLESSING HOSPITAL,8936.0
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,8931.0
230020,BEAUMONT HOSPITAL - DEARBORN,8923.0
380102,SACRED HEART MEDICAL CENTER - RIVERBEND,8920.0
100038,MEMORIAL REGIONAL HOSPITAL,8901.0
260141,UNIVERSITY OF MISSOURI HEALTH CARE,8895.0
170104,SHAWNEE MISSION MEDICAL CENTER,8892.0
390256,MILTON S HERSHEY MEDICAL CENTER,8865.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,8817.0
140280,TRINITY ROCK ISLAND,8817.0
100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,8815.0
370037,ST ANTHONY HOSPITAL,8811.0
220070,HALLMARK HEALTH SYSTEM,8798.0
40014,WHITE COUNTY MEDICAL CENTER,8796.0
330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,8790.0
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",8775.0
170122,VIA CHRISTI HOSPITALS WICHITA INC,8771.0
140290,ST ALEXIUS MEDICAL CENTER,8736.0
340147,NASH GENERAL HOSPITAL,8731.0
220111,GOOD SAMARITAN MEDICAL CENTER,8730.0
220063,LOWELL GENERAL HOSPITAL,8724.0
100173,FLORIDA HOSPITAL TAMPA,8718.0
360155,SOUTHWEST GENERAL HEALTH CENTER,8704.0
190026,RAPIDES REGIONAL MEDICAL CENTER,8703.0
260065,MERCY HOSPITAL SPRINGFIELD,8694.0
80007,BEEBE MEDICAL CENTER,8687.0
450068,MEMORIAL HERMANN TEXAS MEDICAL CENTER,8656.0
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,8640.0
340014,NOVANT HEALTH FORSYTH MEDICAL CENTER,8626.0
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL,8619.0
240080,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",8616.0
50516,MERCY SAN JUAN MEDICAL CENTER,8613.0
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,8610.0
450801,CHRISTUS ST MICHAEL HEALTH SYSTEM,8596.0
500079,MULTICARE GOOD SAMARITAN HOSPITAL,8595.0
460010,INTERMOUNTAIN MEDICAL CENTER,8585.0
510058,CAMDEN CLARK MEDICAL CENTER,8565.0
40016,UAMS MEDICAL CENTER,8560.0
230021,"LAKELAND HOSPITAL, ST JOSEPH",8555.0
450358,"METHODIST HOSPITAL,THE",8551.0
180012,HARDIN MEMORIAL HOSPITAL,8528.0
420091,CAROLINAS HOSPITAL SYSTEM,8519.0
390195,MAIN LINE HOSPITAL LANKENAU,8503.0
230070,COVENANT MEDICAL CENTER,8482.0
100243,BRANDON REGIONAL HOSPITAL,8482.0
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,8478.0
150012,SAINT JOSEPH REGIONAL MEDICAL CENTER,8470.0
100023,CITRUS MEMORIAL HOSPITAL,8468.0
310111,CENTRASTATE MEDICAL CENTER,8458.0
330203,CROUSE HOSPITAL,8442.0
440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,8439.0
360084,AULTMAN HOSPITAL,8424.0
100260,ST LUCIE MEDICAL CENTER,8403.0
70020,MIDDLESEX HOSPITAL,8377.0
430077,RAPID CITY REGIONAL HOSPITAL,8355.0
280003,BRYAN MEDICAL CENTER,8349.0
120001,THE QUEENS MEDICAL CENTER,8346.0
100034,MOUNT SINAI MEDICAL CENTER,8341.0
310009,CLARA MAASS MEDICAL CENTER,8341.0
330304,WHITE PLAINS HOSPITAL CENTER,8314.0
360052,GOOD SAMARITAN HOSPITAL,8305.0
310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,8303.0
490024,CARILION ROANOKE MEMORIAL CENTER,8297.0
100151,MAYO CLINIC,8294.0
450686,UNIVERSITY MEDICAL CENTER,8289.0
500129,TACOMA GENERAL ALLENMORE HOSPITAL,8288.0
10139,BROOKWOOD MEDICAL CENTER,8260.0
150058,MEMORIAL HOSPITAL OF SOUTH BEND,8260.0
360041,PARMA COMMUNITY GENERAL HOSPITAL,8250.0
140191,INGALLS MEMORIAL HOSPITAL,8232.0
90011,WASHINGTON HOSPITAL CENTER,8228.0
50238,METHODIST HOSPITAL OF SOUTHERN CA,8223.0
390151,CHAMBERSBURG HOSPITAL,8212.0
490005,WINCHESTER MEDICAL CENTER,8205.0
70007,LAWRENCE & MEMORIAL HOSPITAL,8191.0
70028,ST VINCENT'S MEDICAL CENTER,8188.0
390139,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,8181.0
330153,ELLIS HOSPITAL,8178.0
450610,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,8177.0
50280,MERCY MEDICAL CENTER REDDING,8165.0
500108,ST JOSEPH MEDICAL CENTER,8163.0
100017,HALIFAX HEALTH MEDICAL CENTER,8152.0
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,8145.0
50351,TORRANCE MEMORIAL MEDICAL CENTER,8133.0
230070,"COVENANT MEDICAL CENTER, INC",8088.0
240010,MAYO CLINIC - SAINT MARYS HOSPITAL,8088.0
140030,SHERMAN HOSPITAL,8087.0
110168,REDMOND REGIONAL MEDICAL CENTER,8083.0
310034,RIVERVIEW MEDICAL CENTER,8077.0
110143,WELLSTAR COBB HOSPITAL,8075.0
440073,MAURY REGIONAL HOSPITAL,8074.0
140179,LITTLE COMPANY OF MARY HOSPITAL,8052.0
100256,REGIONAL MEDICAL CENTER BAYONET POINT,8048.0
510070,RALEIGH GENERAL HOSPITAL,8041.0
